decision	archive	image	field	expectedSide	verdict	discriminator	standingValue	treeDigest	preDigest	liveDigest	v84Digest	note
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02047000	v84	OK-UNCHANGED	REAL	v84	3ba94a68bdce	3ba94a68bdce	-	3ba94a68bdce	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02047001	v84	OK-UNCHANGED	REAL	v84	0dfb940623b7	0dfb940623b7	-	0dfb940623b7	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02047002	v84	OK-UNCHANGED	REAL	v84	36d5b604b27c	36d5b604b27c	-	36d5b604b27c	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02047100	v84	OK-UNCHANGED	REAL	v84	52ceb7dfe0fd	52ceb7dfe0fd	-	52ceb7dfe0fd	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02047101	v84	OK-UNCHANGED	REAL	v84	9e7575af3e80	9e7575af3e80	-	9e7575af3e80	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02047102	v84	OK-UNCHANGED	REAL	v84	b24b827687fe	b24b827687fe	-	b24b827687fe	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02047200	v84	OK-UNCHANGED	REAL	v84	ae99de0da7b3	ae99de0da7b3	-	ae99de0da7b3	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02047201	v84	OK-UNCHANGED	REAL	v84	62ca375b0fa6	62ca375b0fa6	-	62ca375b0fa6	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02047202	v84	OK-UNCHANGED	REAL	v84	e5ca19ad6984	e5ca19ad6984	-	e5ca19ad6984	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02047203	v84	OK-UNCHANGED	REAL	v84	c75b37cfe39b	c75b37cfe39b	-	c75b37cfe39b	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02047204	v84	OK-UNCHANGED	REAL	v84	9dd8d5753e9f	9dd8d5753e9f	-	9dd8d5753e9f	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02047205	v84	OK-UNCHANGED	REAL	v84	48d0bec906a1	48d0bec906a1	-	48d0bec906a1	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02047206	v84	OK-UNCHANGED	REAL	v84	593269af8cac	593269af8cac	-	593269af8cac	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02047207	v84	OK-UNCHANGED	REAL	v84	00d21252cc67	00d21252cc67	-	00d21252cc67	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02047208	v84	OK-UNCHANGED	REAL	v84	8cf9a6f49f18	8cf9a6f49f18	-	8cf9a6f49f18	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02047300	v84	OK-UNCHANGED	REAL	v84	034e1a92462a	034e1a92462a	-	034e1a92462a	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02047301	v84	OK-UNCHANGED	REAL	v84	85a4490f3513	85a4490f3513	-	85a4490f3513	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02047302	v84	OK-UNCHANGED	REAL	v84	fe4e627128ba	fe4e627128ba	-	fe4e627128ba	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02047303	v84	OK-UNCHANGED	REAL	v84	f80ad71e1761	f80ad71e1761	-	f80ad71e1761	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02047304	v84	OK-UNCHANGED	REAL	v84	e571244bc3b5	e571244bc3b5	-	e571244bc3b5	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02047305	v84	OK-UNCHANGED	REAL	v84	9b67ee7a3f17	9b67ee7a3f17	-	9b67ee7a3f17	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02047306	v84	OK-UNCHANGED	REAL	v84	80440c098c1a	80440c098c1a	-	80440c098c1a	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02047307	v84	OK-UNCHANGED	REAL	v84	1ae3422a3407	1ae3422a3407	-	1ae3422a3407	
